      Lev(mb)   ALL-SWUP VIS  ALL-SWUP NIR  ALL-SWDN VIS  ALL-SWDN NIR  CLR-SWUP VIS  CLR-SWUP NIR  CLR-SWDN VIS  CLR-SWDN NIR
       0.100       230.548        94.786       271.761       321.745       230.548        94.786       271.761       321.745
       0.303       230.546        94.786       271.560       321.661       230.546        94.786       271.560       321.661
       0.405       230.545        94.786       271.419       321.636       230.545        94.786       271.419       321.636
       0.515       230.545        94.785       271.240       321.613       230.545        94.785       271.240       321.613
       0.730       230.547        94.785       270.818       321.574       230.547        94.785       270.818       321.574
       1.125       230.557        94.785       269.951       321.512       230.557        94.785       269.951       321.512
       2.150       230.608        94.784       268.119       321.387       230.608        94.784       268.119       321.387
       3.175       230.685        94.785       266.943       321.289       230.685        94.785       266.943       321.289
       4.200       230.773        94.786       266.102       321.205       230.773        94.786       266.102       321.205
       5.450       230.876        94.787       265.336       321.112       230.876        94.787       265.336       321.112
       7.750       231.044        94.788       264.327       320.957       231.044        94.788       264.327       320.957
      12.750       231.350        94.787       262.856       320.656       231.350        94.787       262.856       320.656
      23.000       231.886        94.784       260.763       320.095       231.886        94.784       260.763       320.095
      33.250       232.347        94.777       259.141       319.606       232.347        94.777       259.141       319.606
      43.500       232.729        94.768       257.813       319.179       232.729        94.768       257.813       319.179
      57.500       233.169        94.752       256.274       318.650       233.169        94.752       256.274       318.650
      82.000       233.742        94.718       254.134       317.800       233.742        94.718       254.134       317.800
     121.250       234.075        94.645       251.906       316.500       234.075        94.645       251.906       316.500
     172.500       233.855        94.529       250.166       314.738       233.855        94.529       250.166       314.738
     223.750       233.376        94.407       248.889       312.784       233.376        94.407       248.889       312.784
     275.000       232.783        94.285       247.822       310.626       232.783        94.285       247.822       310.626
     326.250       232.098        94.165       246.917       308.073       232.098        94.165       246.917       308.073
     377.500       231.376        94.052       246.085       304.697       231.376        94.052       246.085       304.697
     428.750       230.651        93.954       245.275       300.474       230.651        93.954       245.275       300.474
     480.000       229.934        93.880       244.469       295.396       229.934        93.880       244.469       295.396
     531.250       229.224        93.847       243.666       289.677       229.224        93.847       243.666       289.677
     582.500       228.521        93.867       242.866       283.662       228.521        93.867       242.866       283.662
     633.750       227.824        93.949       242.067       277.635       227.824        93.949       242.067       277.635
     685.000       227.136        94.106       241.267       271.771       227.136        94.106       241.267       271.771
     718.125       226.694        94.259       240.747       268.065       226.694        94.259       240.747       268.065
     743.750       226.354        94.411       240.343       265.226       226.354        94.411       240.343       265.226
     769.375       226.016        94.594       239.938       262.418       226.016        94.594       239.938       262.418
     795.000       225.681        94.798       239.532       259.772       225.681        94.798       239.532       259.772
     820.625       225.348        95.000       239.124       257.451       225.348        95.000       239.124       257.451
     846.250       225.018        95.190       238.716       255.455       225.018        95.190       238.716       255.455
     871.875       224.688        95.387       238.307       253.592       224.688        95.387       238.307       253.592
     897.500       224.361        95.625       237.899       251.646       224.361        95.625       237.899       251.646
     923.125       224.034        95.911       237.491       249.623       224.034        95.911       237.491       249.623
     948.750       223.709        96.237       237.083       247.616       223.709        96.237       237.083       247.616
     974.375       223.384        96.595       236.676       245.684       223.384        96.595       236.676       245.684
     985.186       223.246        96.754       236.504       244.902       223.246        96.754       236.504       244.902
 ------- All-Sky:
 Surface  Direct(Wm2):  Surface Diffuse(Wm2):
              409.590                 71.816
 ----- Clear-Sky:
 Surface  Direct(Wm2):  Surface Diffuse(Wm2):
              409.590                 71.816
 -----------------------------------------------------------------------------------------------------------
